TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2018,12,4,1,43,11XX DAVIE ST,West End,490359.3808,5458726.479
Break and Enter Commercial,2018,8,1,0,10,11XX DAVIE ST,West End,490419.5195,5458678.186
Break and Enter Commercial,2018,10,5,4,44,11XX DENMAN ST,West End,489747.6414,5459455.184
Break and Enter Commercial,2018,8,15,12,4,11XX DENMAN ST,West End,489789.2651,5459497.069
Break and Enter Commercial,2018,2,5,5,14,11XX DENMAN ST,West End,489792.3978,5459500.245
Break and Enter Commercial,2018,8,31,5,35,11XX DENMAN ST,West End,489792.3978,5459500.245
Break and Enter Commercial,2018,6,13,5,57,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
Break and Enter Commercial,2018,7,10,4,38,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
Break and Enter Commercial,2018,9,24,0,24,11XX E BROADWAY AVE,Mount Pleasant,494125.4478,5456626.948
Break and Enter Commercial,2018,3,11,14,53,11XX E BROADWAY AVE,Mount Pleasant,494156.7966,5456635.657
Break and Enter Commercial,2018,1,30,23,20,11XX E PENDER ST,Strathcona,494164.3333,5458594.338
Break and Enter Commercial,2018,4,9,20,36,11XX E PENDER ST,Strathcona,494164.3333,5458594.338
Break and Enter Commercial,2018,1,12,22,0,11XX FRANKLIN ST,Strathcona,494096.6985,5458838.619
Break and Enter Commercial,2018,4,13,16,40,11XX FRANKLIN ST,Strathcona,494139.1409,5458847
Break and Enter Commercial,2018,11,12,5,51,11XX FRANKLIN ST,Strathcona,494180.215,5458846.26
Break and Enter Commercial,2018,2,14,21,20,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
Break and Enter Commercial,2018,6,4,1,0,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
Break and Enter Commercial,2018,11,5,6,8,11XX FRANKLIN ST,Strathcona,494181.4187,5458846.237
Break and Enter Commercial,2018,8,13,4,40,11XX GRANVILLE ST,Central Business District,490828.1896,5458287.541
Break and Enter Commercial,2018,9,5,0,0,11XX GRANVILLE ST,Central Business District,490870.3092,5458329.885
Break and Enter Commercial,2018,12,3,12,15,11XX GRANVILLE ST,Central Business District,490901.1772,5458347.95
Break and Enter Commercial,2018,11,13,22,47,11XX GRANVILLE ST,Central Business District,490921.2962,5458381.142
Break and Enter Commercial,2018,9,14,1,47,11XX HARO ST,West End,490826.7405,5459046.652
Break and Enter Commercial,2018,10,29,18,21,11XX HARWOOD ST,West End,490189.1062,5458584.036
Break and Enter Commercial,2018,12,10,12,13,11XX HARWOOD ST,West End,490269.2337,5458517.767
Break and Enter Commercial,2018,2,8,23,30,11XX HOMER ST,Central Business District,491124.9361,5458146.429
Break and Enter Commercial,2018,11,30,21,30,11XX HORNBY ST,Central Business District,490732.2809,5458460.846
Break and Enter Commercial,2018,10,21,9,0,11XX HORNBY ST,Central Business District,490762.516,5458492.19
Break and Enter Commercial,2018,1,1,0,0,11XX HORNBY ST,Central Business District,490768.8928,5458511.972
Break and Enter Commercial,2018,3,1,20,40,11XX HOWE ST,Central Business District,490766.2424,5458357.691
Break and Enter Commercial,2018,12,4,0,5,11XX HOWE ST,Central Business District,490766.2424,5458357.691
Break and Enter Commercial,2018,10,7,0,0,11XX HOWE ST,Central Business District,490775.0164,5458366.579
Break and Enter Commercial,2018,12,3,7,0,11XX HOWE ST,Central Business District,490775.0164,5458366.579
Break and Enter Commercial,2018,8,24,9,9,11XX HOWE ST,Central Business District,490823.3469,5458428.553
Break and Enter Commercial,2018,10,2,4,0,11XX HOWE ST,Central Business District,490823.3469,5458428.553
Break and Enter Commercial,2018,4,15,3,9,11XX HOWE ST,Central Business District,490851.7894,5458444.349
Break and Enter Commercial,2018,4,16,11,42,11XX HOWE ST,Central Business District,490851.7894,5458444.349
Break and Enter Commercial,2018,11,7,9,5,11XX JERVIS ST,West End,490211.7551,5458935.678
Break and Enter Commercial,2018,12,10,0,0,11XX JERVIS ST,West End,490304.9975,5459016.266
Break and Enter Commercial,2018,2,4,4,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494083.4474,5455558.64
Break and Enter Commercial,2018,3,31,18,36,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494171.0484,5455484.99
Break and Enter Commercial,2018,12,17,7,30,11XX MAIN ST,Central Business District,492719.4036,5457952.584
Break and Enter Commercial,2018,2,4,6,32,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2018,3,13,9,47,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2018,3,27,2,30,11XX MAIN ST,Central Business District,492719.7044,5457961.239
Break and Enter Commercial,2018,2,12,20,53,11XX MAIN ST,Central Business District,492720.2567,5457977.107
Break and Enter Commercial,2018,12,7,9,11,11XX MAIN ST,Central Business District,492720.2567,5457977.107
Break and Enter Commercial,2018,12,8,2,0,11XX MAIN ST,Central Business District,492720.2567,5457977.107
Break and Enter Commercial,2018,12,14,21,0,11XX MAIN ST,Central Business District,492720.2567,5457977.107
Break and Enter Commercial,2018,7,13,18,0,11XX MAINLAND ST,Central Business District,491174.4426,5458032.915
Break and Enter Commercial,2018,3,27,18,15,11XX MAINLAND ST,Central Business District,491177.0288,5458048.349
Break and Enter Commercial,2018,11,6,10,8,11XX MARINASIDE CRES,Central Business District,491297.0431,5457829.638
Break and Enter Commercial,2018,4,6,23,0,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
Break and Enter Commercial,2018,10,4,7,25,11XX MELVILLE ST,Central Business District,491019.485,5459408.058
Break and Enter Commercial,2018,10,5,8,10,11XX MELVILLE ST,Central Business District,491078.0856,5459364.084
Break and Enter Commercial,2018,2,13,0,39,11XX MELVILLE ST,Central Business District,491105.7434,5459337.325
Break and Enter Commercial,2018,3,31,1,58,11XX NELSON ST,West End,490664.9189,5458896.354
Break and Enter Commercial,2018,7,12,0,0,11XX NELSON ST,West End,490664.9189,5458896.354
Break and Enter Commercial,2018,9,14,12,0,11XX NELSON ST,West End,490664.9189,5458896.354
Break and Enter Commercial,2018,11,3,9,43,11XX NICOLA ST,West End,490117.9707,5459196.467
Break and Enter Commercial,2018,3,29,17,30,11XX PARKER ST,Strathcona,494212.987,5458133.165
Break and Enter Commercial,2018,10,7,23,10,11XX QUEBEC ST,Central Business District,492601.828,5457998.095
Break and Enter Commercial,2018,8,20,18,0,11XX RICHARDS ST,Central Business District,490979.6695,5458144.869
Break and Enter Commercial,2018,11,17,20,53,11XX RICHARDS ST,Central Business District,491058.183,5458236.736
Break and Enter Commercial,2018,2,26,3,29,11XX RICHARDS ST,Central Business District,491060.0307,5458238.592
Break and Enter Commercial,2018,11,14,4,55,11XX RICHARDS ST,Central Business District,491060.0307,5458238.592
Break and Enter Commercial,2018,7,29,4,20,11XX ROBSON ST,West End,490795.6407,5459232.699
Break and Enter Commercial,2018,8,10,9,3,11XX ROBSON ST,West End,490795.6407,5459232.699
Break and Enter Commercial,2018,5,18,16,0,11XX ROBSON ST,West End,490812.6871,5459202.749
Break and Enter Commercial,2018,9,10,18,56,11XX ROBSON ST,West End,490859.7037,5459155.79
Break and Enter Commercial,2018,9,5,21,15,11XX ROBSON ST,West End,490910.2436,5459118.235
Break and Enter Commercial,2018,2,27,21,40,11XX ROSSLAND ST,Hastings-Sunrise,496691.9762,5458065.532
Break and Enter Commercial,2018,3,16,1,15,11XX SEYMOUR ST,Central Business District,490914.1464,5458227.869
Break and Enter Commercial,2018,1,4,0,0,11XX SEYMOUR ST,Central Business District,490942.7722,5458256.375
Break and Enter Commercial,2018,6,8,10,0,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2018,7,31,7,41,11XX SEYMOUR ST,Central Business District,490991.2159,5458304.617
Break and Enter Commercial,2018,7,6,17,15,11XX SEYMOUR ST,Central Business District,491002.2259,5458315.581
Break and Enter Commercial,2018,10,1,22,12,11XX STATION ST,Strathcona,492835.0141,5457933.896
Break and Enter Commercial,2018,11,19,9,33,11XX THE CASTINGS ST,Fairview,490473.3629,5457124.925
Break and Enter Commercial,2018,6,5,17,0,11XX UNION ST,Strathcona,494100.6197,5458294.232
Break and Enter Commercial,2018,5,8,21,0,11XX W 10TH AVE,Fairview,490546.7184,5456649.912
Break and Enter Commercial,2018,3,8,14,38,11XX W 6TH AVE,Fairview,490508.7951,5457037.53
Break and Enter Commercial,2018,7,7,17,15,11XX W BROADWAY AVE,Fairview,490483.8104,5456758.459
Break and Enter Commercial,2018,2,3,6,20,11XX W BROADWAY AVE,Fairview,490486.8561,5456749.227
Break and Enter Commercial,2018,7,28,21,30,11XX W BROADWAY AVE,Fairview,490546.5113,5456756.714
Break and Enter Commercial,2018,2,18,6,38,11XX W BROADWAY AVE,Fairview,490562.7571,5456747.115
Break and Enter Commercial,2018,3,7,0,5,11XX W CORDOVA ST,Central Business District,491128.9874,5459617.419
Break and Enter Commercial,2018,3,20,17,30,11XX W GEORGIA ST,Central Business District,490915.2728,5459361.079
Break and Enter Commercial,2018,9,22,4,10,11XX W GEORGIA ST,Central Business District,490997.9348,5459279.62
Break and Enter Commercial,2018,1,15,19,30,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
Break and Enter Commercial,2018,2,16,18,0,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
Break and Enter Commercial,2018,2,19,5,53,11XX W HASTINGS ST,Central Business District,491081.4483,5459569.169
Break and Enter Commercial,2018,1,14,16,30,11XX W HASTINGS ST,Central Business District,491115.8189,5459544.494
Break and Enter Commercial,2018,2,10,21,18,11XX W HASTINGS ST,Central Business District,491127.8585,5459549.283
Break and Enter Commercial,2018,3,30,0,0,11XX W HASTINGS ST,Central Business District,491220.6789,5459509.512
Break and Enter Commercial,2018,11,26,10,3,11XX W PENDER ST,Central Business District,491052.646,5459503.627
Break and Enter Commercial,2018,1,18,3,30,11XX W PENDER ST,Central Business District,491126.3161,5459480.184
Break and Enter Commercial,2018,6,8,23,49,11XX W PENDER ST,Central Business District,491151.3089,5459458.779
Break and Enter Commercial,2018,1,16,20,0,11XX W PENDER ST,Central Business District,491171.8637,5459449.436
Break and Enter Commercial,2018,5,12,6,58,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
Break and Enter Commercial,2018,5,19,17,0,11XX W PENDER ST,Central Business District,491208.8622,5459432.618
Break and Enter Commercial,2018,1,8,5,0,11XX W PENDER ST,Central Business District,491217.0842,5459428.881
Break and Enter Commercial,2018,5,31,9,25,11XX WILLIAM ST,Strathcona,494196.0232,5457932.313
Break and Enter Commercial,2018,1,2,1,0,12XX BARCLAY ST,West End,490542.8022,5459179.703
Break and Enter Commercial,2018,3,19,16,53,12XX BARCLAY ST,West End,490568.5327,5459141.933
Break and Enter Commercial,2018,5,29,21,0,12XX BEACH AVE,West End,489999.8699,5458560.893
Break and Enter Commercial,2018,4,12,10,35,12XX BEACH AVE,West End,490015.3204,5458537.277
Break and Enter Commercial,2018,10,3,0,0,12XX BROUGHTON ST,West End,490080.7712,5459004.436
Break and Enter Commercial,2018,10,20,4,25,12XX BURNABY ST,West End,490151.5668,5458788.482
Break and Enter Commercial,2018,11,30,9,50,12XX BURNABY ST,West End,490160.1534,5458766.539
Break and Enter Commercial,2018,5,6,3,30,12XX BURNABY ST,West End,490194.7626,5458730.955
Break and Enter Commercial,2018,9,15,6,58,12XX BURNABY ST,West End,490194.7626,5458730.955
Break and Enter Commercial,2018,9,28,5,2,12XX BURNABY ST,West End,490194.7626,5458730.955
Break and Enter Commercial,2018,9,23,19,0,12XX BURRARD ST,Central Business District,490563.4424,5458441.606
Break and Enter Commercial,2018,2,6,8,49,12XX BUTE ST,West End,490293.0814,5458777.109
Break and Enter Commercial,2018,3,1,18,6,12XX CARDERO ST,West End,489880.1255,5459144.426
Break and Enter Commercial,2018,9,21,0,0,12XX CARDERO ST,West End,489881.6102,5459133.048
Break and Enter Commercial,2018,11,17,22,3,12XX COMMERCIAL DR,Grandview-Woodland,494944.556,5457898.206
Break and Enter Commercial,2018,1,16,19,0,12XX COMOX ST,West End,490416.3105,5458977.818
Break and Enter Commercial,2018,9,15,8,33,12XX COMOX ST,West End,490416.3105,5458977.818
Break and Enter Commercial,2018,12,14,0,56,12XX E 12TH AVE,Mount Pleasant,494348.9159,5456325.782
Break and Enter Commercial,2018,3,14,22,0,12XX E 15TH AVE,Mount Pleasant,494272.8985,5456003.72
Break and Enter Commercial,2018,7,25,0,30,12XX E 7TH AVE,Mount Pleasant,494230.8503,5456839.505
Break and Enter Commercial,2018,4,17,10,28,12XX E 8TH AVE,Mount Pleasant,494249.0435,5456738.352
Break and Enter Commercial,2018,2,23,19,47,12XX E 8TH AVE,Mount Pleasant,494273.4758,5456738.116
Break and Enter Commercial,2018,3,2,21,29,12XX E 8TH AVE,Mount Pleasant,494273.4758,5456738.116
Break and Enter Commercial,2018,7,26,12,9,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,9,7,3,13,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,9,10,2,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,9,21,7,40,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,12,10,20,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,12,23,12,0,12XX E BROADWAY AVE,Mount Pleasant,494294.5657,5456624.597
Break and Enter Commercial,2018,10,29,7,45,12XX E HASTINGS ST,Strathcona,494376.1523,5458740.042
Break and Enter Commercial,2018,4,2,0,0,12XX FRANCES ST,Strathcona,494324.7693,5458532.336
Break and Enter Commercial,2018,4,8,0,58,12XX FRANKLIN ST,Strathcona,494360.0859,5458832.949
Break and Enter Commercial,2018,7,11,20,47,12XX GRANVILLE ST,Central Business District,490794.8554,5458253.562
Break and Enter Commercial,2018,3,29,5,18,12XX HAMILTON ST,Central Business District,491043.462,5457979.591
Break and Enter Commercial,2018,4,3,4,3,12XX HARO ST,West End,490594.9442,5459266.271
Break and Enter Commercial,2018,4,24,1,0,12XX HARO ST,West End,490594.9442,5459266.271
Break and Enter Commercial,2018,5,6,2,25,12XX HARO ST,West End,490594.9442,5459266.271
Break and Enter Commercial,2018,5,23,0,24,12XX HARO ST,West End,490594.9442,5459266.271
Break and Enter Commercial,2018,1,20,22,0,12XX HARO ST,West End,490631.7927,5459230.557
Break and Enter Commercial,2018,4,20,8,21,12XX HARO ST,West End,490649.1332,5459213.751
Break and Enter Commercial,2018,12,13,21,38,12XX HARWOOD ST,West End,490097.7062,5458687.35
Break and Enter Commercial,2018,6,24,14,0,12XX HOMER ST,Central Business District,490991.0723,5458012.855
Break and Enter Commercial,2018,9,1,0,0,12XX HOMER ST,Central Business District,491003.1105,5458037.898
Break and Enter Commercial,2018,9,7,21,37,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2018,9,9,7,24,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2018,11,11,19,29,12XX HOWE ST,Central Business District,490650.5904,5458254.623
Break and Enter Commercial,2018,2,28,3,50,12XX HOWE ST,Central Business District,490681.5523,5458272.695
Break and Enter Commercial,2018,2,24,5,30,12XX HOWE ST,Central Business District,490734.9863,5458326.22
Break and Enter Commercial,2018,3,2,2,0,12XX MARINASIDE CRES,Central Business District,491201.6589,5457735.323
Break and Enter Commercial,2018,4,15,20,38,12XX MELVILLE ST,Central Business District,490919.4805,5459504.976
Break and Enter Commercial,2018,5,8,19,0,12XX MELVILLE ST,Central Business District,490957.1836,5459481.11
Break and Enter Commercial,2018,4,11,0,34,12XX NELSON ST,West End,490450.328,5459111.515
Break and Enter Commercial,2018,4,16,12,0,12XX NELSON ST,West End,490450.328,5459111.515
Break and Enter Commercial,2018,4,21,22,42,12XX NELSON ST,West End,490450.328,5459111.515
Break and Enter Commercial,2018,8,21,1,49,12XX ODLUM DR,Grandview-Woodland,494472.7335,5457880.35
Break and Enter Commercial,2018,12,14,8,17,12XX PACIFIC BLVD,Central Business District,491046.9221,5457866.693
Break and Enter Commercial,2018,11,8,18,0,12XX PACIFIC BLVD,Central Business District,491109.2102,5457915.896
Break and Enter Commercial,2018,10,30,8,38,12XX PACIFIC ST,West End,489987.3712,5458641.262
Break and Enter Commercial,2018,11,30,22,10,12XX PENDRELL ST,West End,490309.5435,5458928.133
Break and Enter Commercial,2018,11,16,11,7,12XX PENDRELL ST,West End,490330.7026,5458906.303
Break and Enter Commercial,2018,6,8,2,0,12XX ROBSON ST,West End,490661.6272,5459353.652
Break and Enter Commercial,2018,2,6,8,10,12XX ROBSON ST,West End,490699.0073,5459316.308
Break and Enter Commercial,2018,9,19,2,20,12XX SEYMOUR ST,Central Business District,490805.3723,5458105.371
Break and Enter Commercial,2018,8,17,2,2,12XX VENABLES ST,Strathcona,494285.6296,5458223.323
Break and Enter Commercial,2018,3,29,10,26,12XX W 14TH AVE,Fairview,490334.0563,5456240.974
Break and Enter Commercial,2018,6,13,6,10,12XX W 14TH AVE,Fairview,490360.3509,5456240.276
Break and Enter Commercial,2018,2,15,2,35,12XX W 15TH AVE,Fairview,490371.4951,5456138.245
Break and Enter Commercial,2018,10,11,19,0,12XX W 37TH AVE,Shaughnessy,490250.6569,5453900.471
Break and Enter Commercial,2018,1,24,9,25,12XX W 47TH AVE,Oakridge,490226.8944,5452881.68
Break and Enter Commercial,2018,5,19,14,16,12XX W 70TH AVE,Marpole,490215.7965,5450641.727
Break and Enter Commercial,2018,4,29,12,51,12XX W CORDOVA ST,Central Business District,490999.681,5459695.048
Break and Enter Commercial,2018,6,14,4,49,12XX W CORDOVA ST,Central Business District,490999.681,5459695.048
Break and Enter Commercial,2018,6,20,3,30,12XX W CORDOVA ST,Central Business District,491077.5995,5459646.403
